scope,method,n,recall@5,recall@10,recall@20,MRR
global,denso,34,0.1765,0.2941,0.4118,0.1758
global,bm25,34,0.1176,0.1765,0.2647,0.0746
global,híbrido,34,0.2353,0.3529,0.4412,0.1764
global,rewrite-solo,34,0.4118,0.5294,0.6765,0.2946
global,multi-query,34,0.2647,0.4412,0.5882,0.1958
difficulty:easy,denso,2,0.5,1.0,1.0,0.55
difficulty:easy,bm25,2,0.5,0.5,0.5,0.1699
difficulty:easy,híbrido,2,0.5,0.5,1.0,0.525
difficulty:easy,rewrite-solo,2,1.0,1.0,1.0,0.6667
difficulty:easy,multi-query,2,1.0,1.0,1.0,0.625
difficulty:medium,denso,9,0.2222,0.2222,0.3333,0.1807
difficulty:medium,bm25,9,0.2222,0.3333,0.3333,0.1585
difficulty:medium,híbrido,9,0.3333,0.4444,0.4444,0.0993
difficulty:medium,rewrite-solo,9,0.7778,0.8889,1.0,0.4306
difficulty:medium,multi-query,9,0.2222,0.5556,0.6667,0.1717
difficulty:hard,denso,18,0.0556,0.2222,0.3889,0.0667
difficulty:hard,bm25,18,0.0,0.0,0.1111,0.0126
difficulty:hard,híbrido,18,0.1111,0.2222,0.3333,0.1034
difficulty:hard,rewrite-solo,18,0.1667,0.2778,0.5,0.1455
difficulty:hard,multi-query,18,0.1667,0.3333,0.5556,0.1003
difficulty:very_hard,denso,5,0.4,0.4,0.4,0.4102
difficulty:very_hard,bm25,5,0.2,0.4,0.6,0.109
difficulty:very_hard,híbrido,5,0.4,0.6,0.6,0.4387
difficulty:very_hard,rewrite-solo,5,0.4,0.6,0.6,0.4377
difficulty:very_hard,multi-query,5,0.4,0.4,0.4,0.4111
type:causal_reasoning,denso,2,0.0,0.0,0.0,0.0063
type:causal_reasoning,bm25,2,0.0,0.0,0.0,0.0074
type:causal_reasoning,híbrido,2,0.0,0.0,0.0,0.0111
type:causal_reasoning,rewrite-solo,2,0.0,0.0,0.0,0.0083
type:causal_reasoning,multi-query,2,0.0,0.0,0.0,0.0084
type:colloquial_to_legal,denso,5,0.0,0.0,0.0,0.0124
type:colloquial_to_legal,bm25,5,0.0,0.0,0.0,0.0008
type:colloquial_to_legal,híbrido,5,0.0,0.0,0.0,0.005
type:colloquial_to_legal,rewrite-solo,5,0.4,0.6,0.6,0.2235
type:colloquial_to_legal,multi-query,5,0.0,0.4,0.4,0.0687
type:conceptual_distinction,denso,7,0.0,0.1429,0.4286,0.0572
type:conceptual_distinction,bm25,7,0.0,0.0,0.0,0.0078
type:conceptual_distinction,híbrido,7,0.0,0.1429,0.2857,0.0383
type:conceptual_distinction,rewrite-solo,7,0.0,0.1429,0.5714,0.0543
type:conceptual_distinction,multi-query,7,0.1429,0.2857,0.5714,0.0809
type:conceptual_reasoning,denso,2,0.0,0.5,1.0,0.1218
type:conceptual_reasoning,bm25,2,0.0,0.0,0.5,0.0445
type:conceptual_reasoning,híbrido,2,0.5,1.0,1.0,0.2381
type:conceptual_reasoning,rewrite-solo,2,0.0,0.0,0.5,0.0384
type:conceptual_reasoning,multi-query,2,0.0,0.0,1.0,0.0646
type:direct_concept,denso,1,1.0,1.0,1.0,1.0
type:direct_concept,bm25,1,1.0,1.0,1.0,0.3333
type:direct_concept,híbrido,1,1.0,1.0,1.0,1.0
type:direct_concept,rewrite-solo,1,1.0,1.0,1.0,1.0
type:direct_concept,multi-query,1,1.0,1.0,1.0,1.0
type:direct_principle,denso,1,0.0,1.0,1.0,0.1
type:direct_principle,bm25,1,0.0,0.0,0.0,0.0064
type:direct_principle,híbrido,1,0.0,0.0,1.0,0.05
type:direct_principle,rewrite-solo,1,1.0,1.0,1.0,0.3333
type:direct_principle,multi-query,1,1.0,1.0,1.0,0.25
type:legal_paraphrase,denso,1,0.0,0.0,0.0,0.0179
type:legal_paraphrase,bm25,1,0.0,0.0,0.0,0.0005
type:legal_paraphrase,híbrido,1,0.0,0.0,0.0,0.0074
type:legal_paraphrase,rewrite-solo,1,1.0,1.0,1.0,0.3333
type:legal_paraphrase,multi-query,1,0.0,1.0,1.0,0.1429
type:multi_concept_reasoning,denso,1,0.0,0.0,0.0,0.0385
type:multi_concept_reasoning,bm25,1,0.0,0.0,1.0,0.0769
type:multi_concept_reasoning,híbrido,1,0.0,1.0,1.0,0.1667
type:multi_concept_reasoning,rewrite-solo,1,0.0,0.0,0.0,0.0091
type:multi_concept_reasoning,multi-query,1,0.0,0.0,0.0,0.0213
type:negative_question,denso,3,0.3333,0.6667,0.6667,0.1643
type:negative_question,bm25,3,0.0,0.0,0.3333,0.0255
type:negative_question,híbrido,3,0.3333,0.3333,0.6667,0.3633
type:negative_question,rewrite-solo,3,0.3333,0.3333,0.3333,0.3467
type:negative_question,multi-query,3,0.6667,0.6667,0.6667,0.2544
type:precise_conceptual_retrieval,denso,1,0.0,0.0,0.0,0.0017
type:precise_conceptual_retrieval,bm25,1,0.0,0.0,0.0,0.0108
type:precise_conceptual_retrieval,híbrido,1,0.0,0.0,0.0,0.0063
type:precise_conceptual_retrieval,rewrite-solo,1,0.0,1.0,1.0,0.1667
type:precise_conceptual_retrieval,multi-query,1,0.0,0.0,0.0,0.02
type:semantic_paraphrase,denso,10,0.4,0.4,0.5,0.3609
type:semantic_paraphrase,bm25,10,0.3,0.5,0.5,0.187
type:semantic_paraphrase,híbrido,10,0.5,0.6,0.6,0.2886
type:semantic_paraphrase,rewrite-solo,10,0.8,0.9,1.0,0.5542
type:semantic_paraphrase,multi-query,10,0.4,0.6,0.7,0.3402
