idx,question,difficulty,type,method,gold_rank,hit@5,hit@10,hit@20,rr
0,¿Se puede tratar a un acusado como culpable antes de que un juez dicte sentencia?,easy,direct_principle,denso,10,0,1,1,0.1
1,¿Qué grado de certeza necesita el tribunal para poder condenar a una persona?,easy,direct_concept,denso,1,1,1,1,1.0
2,¿Cómo se garantiza que la evidencia recogida en la escena no se altere ni se cambie?,medium,semantic_paraphrase,denso,27,0,0,0,0.037
3,"Si la policía obtiene una prueba violando derechos, ¿esa prueba puede usarse en el juicio?",medium,semantic_paraphrase,denso,1188,0,0,0,0.0008
4,¿Puede la víctima llegar a un arreglo con el acusado para resolver el asunto sin llegar a juicio?,medium,semantic_paraphrase,denso,309,0,0,0,0.0032
5,"Aunque una persona haya sido acusada, ¿la autoridad puede comportarse como si su culpabilidad ya estuviera demostrada?",medium,semantic_paraphrase,denso,18,0,0,1,0.0556
6,"Si todavía existe una duda razonable sobre lo ocurrido, ¿qué impide que el tribunal declare culpable al acusado?",medium,semantic_paraphrase,denso,1,1,1,1,1.0
7,¿Qué mecanismo evita que una persona sea juzgada nuevamente por exactamente los mismos hechos?,medium,semantic_paraphrase,denso,2,1,1,1,0.5
8,¿Qué permite que la defensa cuestione la evidencia utilizada por la fiscalía?,medium,semantic_paraphrase,denso,129,0,0,0,0.0078
9,¿Qué resolución judicial hace que una persona pase formalmente a enfrentar un proceso penal?,medium,legal_paraphrase,denso,56,0,0,0,0.0179
10,¿Puede un juez imponer varias restricciones al imputado al mismo tiempo mientras continúa el procedimiento?,medium,semantic_paraphrase,denso,227,0,0,0,0.0044
11,"Si los policías agarran a alguien y no lo dejan ir, ¿qué límite legal existe para que eso no sea arbitrario?",hard,colloquial_to_legal,denso,118,0,0,0,0.0085
12,¿Me pueden volver a acusar por algo de lo que ya salí absuelto?,hard,colloquial_to_legal,denso,74,0,0,0,0.0135
13,"Si los policías consiguieron algo importante para inculparme pero lo obtuvieron violando mis derechos, ¿todavía lo pueden usar?",hard,colloquial_to_legal,denso,269,0,0,0,0.0037
14,¿Puede mi abogado pelearse legalmente con las pruebas que presenta el Ministerio Público?,hard,colloquial_to_legal,denso,66,0,0,0,0.0152
15,¿Puede la persona afectada y el acusado arreglarse entre ellos para terminar el problema?,hard,colloquial_to_legal,denso,47,0,0,0,0.0213
16,¿No basta con que una persona esté acusada para considerarla responsable penalmente?,hard,negative_question,denso,7,0,1,1,0.1429
17,¿No puede una persona ser sometida indefinidamente a nuevos procesos por el mismo acontecimiento?,hard,negative_question,denso,3,1,1,1,0.3333
18,¿No toda información obtenida durante una investigación tiene automáticamente el valor de una prueba?,hard,negative_question,denso,60,0,0,0,0.0167
19,"Si la fiscalía tiene información obtenida durante la investigación pero el juez todavía no la ha escuchado en juicio, ¿qué categoría tiene?",hard,conceptual_distinction,denso,62,0,0,0,0.0161
20,¿En qué momento deja de ser solo información de investigación y adquiere formalmente valor de prueba?,hard,conceptual_distinction,denso,23,0,0,0,0.0435
21,¿Una declaración tomada por la policía ya es automáticamente prueba suficiente para condenar?,hard,conceptual_distinction,denso,64,0,0,0,0.0156
22,¿Por qué una entrevista tomada durante la investigación no puede simplemente copiarse en una sentencia?,hard,causal_reasoning,denso,500,0,0,0,0.002
23,¿Todo objeto encontrado en una escena del crimen puede considerarse inmediatamente una prueba judicial?,hard,conceptual_distinction,denso,11,0,0,1,0.0909
24,¿Puede algo ser útil para orientar una investigación sin haber alcanzado todavía el nivel de prueba?,hard,conceptual_distinction,denso,185,0,0,0,0.0054
25,¿Qué diferencia existe entre encontrar algo sospechoso y poder utilizarlo formalmente para demostrar un hecho ante un juez?,hard,conceptual_distinction,denso,6,0,1,1,0.1667
26,¿Tener una enorme cantidad de elementos de investigación garantiza que exista evidencia suficiente?,hard,conceptual_reasoning,denso,13,0,0,1,0.0769
27,¿Qué importa más para determinar si los datos permiten sostener una hipótesis: cuántos hay o qué tan útiles son?,hard,conceptual_reasoning,denso,6,0,1,1,0.1667
28,¿Puede una evidencia estar relacionada con el caso y aun así ser insuficiente para demostrar quién fue responsable?,hard,conceptual_distinction,denso,16,0,0,1,0.0625
29,"Si existe información que apunta hacia un posible responsable, pero todavía no ha sido sometida a contradicción ante el juez, ¿qué impide tratarla como prueba definitiva?",very_hard,multi_concept_reasoning,denso,26,0,0,0,0.0385
30,¿Qué distingue a un elemento que solo permite orientar una inferencia de uno que puede utilizarse formalmente para acreditar un hecho en una sentencia?,very_hard,precise_conceptual_retrieval,denso,575,0,0,0,0.0017
31,"Si un objeto fue correctamente localizado y asegurado, ¿eso significa por sí solo que conserva su valor y autenticidad durante todo el procedimiento?",very_hard,causal_reasoning,denso,94,0,0,0,0.0106
32,¿Qué procedimiento permite demostrar que un objeto presentado posteriormente ante la autoridad es el mismo que originalmente fue localizado durante la investigación?,very_hard,semantic_paraphrase,denso,1,1,1,1,1.0
33,"Si una evidencia pasa por varias personas y lugares antes de llegar al juicio, ¿qué sistema permite reconstruir y controlar ese recorrido?",very_hard,semantic_paraphrase,denso,1,1,1,1,1.0
0,¿Se puede tratar a un acusado como culpable antes de que un juez dicte sentencia?,easy,direct_principle,bm25,157,0,0,0,0.0064
1,¿Qué grado de certeza necesita el tribunal para poder condenar a una persona?,easy,direct_concept,bm25,3,1,1,1,0.3333
2,¿Cómo se garantiza que la evidencia recogida en la escena no se altere ni se cambie?,medium,semantic_paraphrase,bm25,7,0,1,1,0.1429
3,"Si la policía obtiene una prueba violando derechos, ¿esa prueba puede usarse en el juicio?",medium,semantic_paraphrase,bm25,2621,0,0,0,0.0004
4,¿Puede la víctima llegar a un arreglo con el acusado para resolver el asunto sin llegar a juicio?,medium,semantic_paraphrase,bm25,672,0,0,0,0.0015
5,"Aunque una persona haya sido acusada, ¿la autoridad puede comportarse como si su culpabilidad ya estuviera demostrada?",medium,semantic_paraphrase,bm25,90,0,0,0,0.0111
6,"Si todavía existe una duda razonable sobre lo ocurrido, ¿qué impide que el tribunal declare culpable al acusado?",medium,semantic_paraphrase,bm25,4,1,1,1,0.25
7,¿Qué mecanismo evita que una persona sea juzgada nuevamente por exactamente los mismos hechos?,medium,semantic_paraphrase,bm25,61,0,0,0,0.0164
8,¿Qué permite que la defensa cuestione la evidencia utilizada por la fiscalía?,medium,semantic_paraphrase,bm25,299,0,0,0,0.0033
9,¿Qué resolución judicial hace que una persona pase formalmente a enfrentar un proceso penal?,medium,legal_paraphrase,bm25,1854,0,0,0,0.0005
10,¿Puede un juez imponer varias restricciones al imputado al mismo tiempo mientras continúa el procedimiento?,medium,semantic_paraphrase,bm25,1,1,1,1,1.0
11,"Si los policías agarran a alguien y no lo dejan ir, ¿qué límite legal existe para que eso no sea arbitrario?",hard,colloquial_to_legal,bm25,1990,0,0,0,0.0005
12,¿Me pueden volver a acusar por algo de lo que ya salí absuelto?,hard,colloquial_to_legal,bm25,1058,0,0,0,0.0009
13,"Si los policías consiguieron algo importante para inculparme pero lo obtuvieron violando mis derechos, ¿todavía lo pueden usar?",hard,colloquial_to_legal,bm25,1805,0,0,0,0.0006
14,¿Puede mi abogado pelearse legalmente con las pruebas que presenta el Ministerio Público?,hard,colloquial_to_legal,bm25,726,0,0,0,0.0014
15,¿Puede la persona afectada y el acusado arreglarse entre ellos para terminar el problema?,hard,colloquial_to_legal,bm25,1825,0,0,0,0.0005
16,¿No basta con que una persona esté acusada para considerarla responsable penalmente?,hard,negative_question,bm25,240,0,0,0,0.0042
17,¿No puede una persona ser sometida indefinidamente a nuevos procesos por el mismo acontecimiento?,hard,negative_question,bm25,14,0,0,1,0.0714
18,¿No toda información obtenida durante una investigación tiene automáticamente el valor de una prueba?,hard,negative_question,bm25,1079,0,0,0,0.0009
19,"Si la fiscalía tiene información obtenida durante la investigación pero el juez todavía no la ha escuchado en juicio, ¿qué categoría tiene?",hard,conceptual_distinction,bm25,114,0,0,0,0.0088
20,¿En qué momento deja de ser solo información de investigación y adquiere formalmente valor de prueba?,hard,conceptual_distinction,bm25,432,0,0,0,0.0023
21,¿Una declaración tomada por la policía ya es automáticamente prueba suficiente para condenar?,hard,conceptual_distinction,bm25,104,0,0,0,0.0096
22,¿Por qué una entrevista tomada durante la investigación no puede simplemente copiarse en una sentencia?,hard,causal_reasoning,bm25,452,0,0,0,0.0022
23,¿Todo objeto encontrado en una escena del crimen puede considerarse inmediatamente una prueba judicial?,hard,conceptual_distinction,bm25,69,0,0,0,0.0145
24,¿Puede algo ser útil para orientar una investigación sin haber alcanzado todavía el nivel de prueba?,hard,conceptual_distinction,bm25,543,0,0,0,0.0018
25,¿Qué diferencia existe entre encontrar algo sospechoso y poder utilizarlo formalmente para demostrar un hecho ante un juez?,hard,conceptual_distinction,bm25,735,0,0,0,0.0014
26,¿Tener una enorme cantidad de elementos de investigación garantiza que exista evidencia suficiente?,hard,conceptual_reasoning,bm25,12,0,0,1,0.0833
27,¿Qué importa más para determinar si los datos permiten sostener una hipótesis: cuántos hay o qué tan útiles son?,hard,conceptual_reasoning,bm25,176,0,0,0,0.0057
28,¿Puede una evidencia estar relacionada con el caso y aun así ser insuficiente para demostrar quién fue responsable?,hard,conceptual_distinction,bm25,63,0,0,0,0.0159
29,"Si existe información que apunta hacia un posible responsable, pero todavía no ha sido sometida a contradicción ante el juez, ¿qué impide tratarla como prueba definitiva?",very_hard,multi_concept_reasoning,bm25,13,0,0,1,0.0769
30,¿Qué distingue a un elemento que solo permite orientar una inferencia de uno que puede utilizarse formalmente para acreditar un hecho en una sentencia?,very_hard,precise_conceptual_retrieval,bm25,93,0,0,0,0.0108
31,"Si un objeto fue correctamente localizado y asegurado, ¿eso significa por sí solo que conserva su valor y autenticidad durante todo el procedimiento?",very_hard,causal_reasoning,bm25,79,0,0,0,0.0127
32,¿Qué procedimiento permite demostrar que un objeto presentado posteriormente ante la autoridad es el mismo que originalmente fue localizado durante la investigación?,very_hard,semantic_paraphrase,bm25,9,0,1,1,0.1111
33,"Si una evidencia pasa por varias personas y lugares antes de llegar al juicio, ¿qué sistema permite reconstruir y controlar ese recorrido?",very_hard,semantic_paraphrase,bm25,3,1,1,1,0.3333
0,¿Se puede tratar a un acusado como culpable antes de que un juez dicte sentencia?,easy,direct_principle,híbrido,20,0,0,1,0.05
1,¿Qué grado de certeza necesita el tribunal para poder condenar a una persona?,easy,direct_concept,híbrido,1,1,1,1,1.0
2,¿Cómo se garantiza que la evidencia recogida en la escena no se altere ni se cambie?,medium,semantic_paraphrase,híbrido,8,0,1,1,0.125
3,"Si la policía obtiene una prueba violando derechos, ¿esa prueba puede usarse en el juicio?",medium,semantic_paraphrase,híbrido,1781,0,0,0,0.0006
4,¿Puede la víctima llegar a un arreglo con el acusado para resolver el asunto sin llegar a juicio?,medium,semantic_paraphrase,híbrido,487,0,0,0,0.0021
5,"Aunque una persona haya sido acusada, ¿la autoridad puede comportarse como si su culpabilidad ya estuviera demostrada?",medium,semantic_paraphrase,híbrido,51,0,0,0,0.0196
6,"Si todavía existe una duda razonable sobre lo ocurrido, ¿qué impide que el tribunal declare culpable al acusado?",medium,semantic_paraphrase,híbrido,3,1,1,1,0.3333
7,¿Qué mecanismo evita que una persona sea juzgada nuevamente por exactamente los mismos hechos?,medium,semantic_paraphrase,híbrido,5,1,1,1,0.2
8,¿Qué permite que la defensa cuestione la evidencia utilizada por la fiscalía?,medium,semantic_paraphrase,híbrido,174,0,0,0,0.0057
9,¿Qué resolución judicial hace que una persona pase formalmente a enfrentar un proceso penal?,medium,legal_paraphrase,híbrido,135,0,0,0,0.0074
10,¿Puede un juez imponer varias restricciones al imputado al mismo tiempo mientras continúa el procedimiento?,medium,semantic_paraphrase,híbrido,5,1,1,1,0.2
11,"Si los policías agarran a alguien y no lo dejan ir, ¿qué límite legal existe para que eso no sea arbitrario?",hard,colloquial_to_legal,híbrido,285,0,0,0,0.0035
12,¿Me pueden volver a acusar por algo de lo que ya salí absuelto?,hard,colloquial_to_legal,híbrido,180,0,0,0,0.0056
